date,symbol,action,quantity
2024-01-05,CL=F,buy,28
2024-01-05,GC=F,sell,12
2024-01-05,SI=F,buy,18
2024-03-05,CL=F,sell,34
2024-03-05,GC=F,buy,9
2024-03-05,SI=F,sell,21
2024-06-04,CL=F,sell,40
2024-06-04,GC=F,buy,10
2024-06-04,SI=F,buy,18
2024-09-03,CL=F,buy,31
2024-09-03,GC=F,sell,14
2024-09-03,SI=F,sell,24
2025-01-06,CL=F,sell,45
2025-01-06,GC=F,buy,11
2025-01-06,SI=F,buy,20
2025-04-04,CL=F,buy,38
2025-04-04,GC=F,sell,16
2025-04-04,SI=F,buy,27
2025-07-03,CL=F,sell,42
2025-07-03,GC=F,buy,13
2025-07-03,SI=F,sell,26
2025-10-02,CL=F,buy,36
2025-10-02,GC=F,sell,15
2025-10-02,SI=F,buy,23
2026-01-05,CL=F,sell,47
2026-01-05,GC=F,buy,12
2026-01-05,SI=F,sell,29
2026-04-06,CL=F,buy,33
2026-04-06,GC=F,sell,17
2026-04-06,SI=F,buy,25
2026-08-03,CL=F,sell,41
2026-08-03,GC=F,buy,14
2026-08-03,SI=F,sell,28
